,From,To,Game_Time_Start,Game_Time_End,Start_x,Start_y,End_x,End_y
195,Roberto Firmino Barbosa de Oliveira,Joel Matip,2533,2538,62.3,36.4,46.7,59.1
196,Joel Matip,Dejan Lovren,2538,2541,52.7,60.6,61.0,80.8
197,Dejan Lovren,Alberto Moreno,2541,2543,60.5,80.0,68.0,60.3
198,Alberto Moreno,Simon Mignolet,2543,2615,5.0,54.5,20.3,72.3
199,Simon Mignolet,Dejan Lovren,2615,2628,26.1,70.8,32.3,94.7
200,Dejan Lovren,Emre Can,2628,2642,62.4,100.0,75.7,96.6
201,Emre Can,Joel Matip,2642,2664,26.1,37.6,13.0,49.6
202,Joel Matip,Simon Mignolet,2664,2665,13.0,49.6,27.5,28.2
203,Simon Mignolet,Joel Matip,2665,2668,30.0,25.8,55.0,36.6
204,Joel Matip,Georginio Wijnaldum,2668,2669,55.0,36.6,41.9,62.3
205,Georginio Wijnaldum,Dejan Lovren,2669,2672,43.0,63.3,62.2,97.2
206,Dejan Lovren,Alberto Moreno,2672,2676,64.0,97.2,67.3,62.9
207,Alberto Moreno,Georginio Wijnaldum,2676,2678,68.4,57.3,72.6,39.1
208,Georginio Wijnaldum,Roberto Firmino Barbosa de Oliveira,2678,2685,73.1,50.0,73.3,68.1
209,Roberto Firmino Barbosa de Oliveira,Alberto Moreno,2685,2688,76.0,78.1,73.2,95.4
210,Alberto Moreno,Roberto Firmino Barbosa de Oliveira,2688,2695,76.7,81.1,79.2,89.0
211,Roberto Firmino Barbosa de Oliveira,Georginio Wijnaldum,2695,2701,50.1,49.9,33.8,40.0
212,Georginio Wijnaldum,Alberto Moreno,2701,2716,74.3,100.0,68.5,74.8
213,Alberto Moreno,Jordan Henderson,2716,2718,70.2,73.6,67.1,41.9
214,Jordan Henderson,Jordan Henderson,2718,2764,72.0,69.7,97.0,30.0
215,Jordan Henderson,Jordan Henderson,2764,2817,55.0,58.7,71.1,13.4
216,Jordan Henderson,Roberto Firmino Barbosa de Oliveira,2817,2839,99.5,99.5,90.2,52.8
217,Roberto Firmino Barbosa de Oliveira,Joel Matip,2839,2852,2.1,11.0,4.8,46.3
218,Joel Matip,Simon Mignolet,2852,2856,9.1,48.1,27.8,57.0
219,Simon Mignolet,Dejan Lovren,2856,2864,29.1,64.2,34.9,92.0
220,Dejan Lovren,Alberto Moreno,2864,2865,34.9,92.0,35.7,66.6
221,Alberto Moreno,Jordan Henderson,2865,2868,42.0,66.4,61.8,2.5
222,Jordan Henderson,Trent Alexander-Arnold,2868,2873,63.6,5.9,60.1,24.0
223,Trent Alexander-Arnold,Georginio Wijnaldum,2873,2878,67.4,23.9,80.5,89.1
224,Georginio Wijnaldum,Alberto Moreno,2878,2882,80.6,87.2,76.9,66.9
225,Alberto Moreno,Sadio Mané,2882,2883,76.9,66.9,68.7,72.4
226,Sadio Mané,Emre Can,2883,2885,69.4,69.1,72.2,46.0
227,Emre Can,Georginio Wijnaldum,2885,2887,72.5,43.6,86.0,31.2
228,Georginio Wijnaldum,Emre Can,2887,2894,68.7,96.0,78.3,61.5
229,Emre Can,Dejan Lovren,2894,2916,26.3,66.0,45.4,56.6
230,Dejan Lovren,Dejan Lovren,2916,2929,28.7,88.1,33.7,95.4
231,Dejan Lovren,Alberto Moreno,2929,2931,33.7,95.4,58.9,90.0
232,Alberto Moreno,Roberto Firmino Barbosa de Oliveira,2931,2932,58.9,90.0,53.8,89.1
233,Roberto Firmino Barbosa de Oliveira,Joel Matip,2932,2939,27.2,38.8,29.7,46.9
234,Joel Matip,Joel Matip,2939,2972,23.8,39.7,31.2,41.5
235,Joel Matip,Georginio Wijnaldum,2972,2974,39.7,22.9,42.6,3.1
236,Georginio Wijnaldum,Trent Alexander-Arnold,2974,2975,40.0,4.3,31.4,32.4
237,Trent Alexander-Arnold,Joel Matip,2975,2977,31.4,32.4,28.8,71.7
238,Joel Matip,Dejan Lovren,2977,2980,29.2,71.4,39.1,96.0
239,Dejan Lovren,Alberto Moreno,2980,2982,38.1,93.2,42.0,69.3
240,Alberto Moreno,Jordan Henderson,2982,2984,43.0,69.4,32.3,75.1
241,Jordan Henderson,Dejan Lovren,2984,2986,29.3,72.0,29.3,52.8
242,Dejan Lovren,Emre Can,2986,2991,42.2,45.2,45.4,11.6
243,Emre Can,Joel Matip,2991,2994,55.2,9.5,69.5,41.6
244,Joel Matip,Simon Mignolet,2994,3008,14.2,47.9,16.6,61.5
245,Simon Mignolet,Dejan Lovren,3008,3010,19.6,59.9,28.6,63.0
246,Dejan Lovren,Emre Can,3010,3016,58.1,73.6,58.3,88.7
247,Emre Can,Sadio Mané,3016,3022,64.0,78.7,56.4,51.8
248,Sadio Mané,Trent Alexander-Arnold,3022,3039,65.5,0.0,61.2,6.8
249,Trent Alexander-Arnold,Georginio Wijnaldum,3039,3040,61.2,6.8,65.1,38.0
250,Georginio Wijnaldum,Roberto Firmino Barbosa de Oliveira,3040,3043,66.3,36.7,62.4,66.3
251,Roberto Firmino Barbosa de Oliveira,Dejan Lovren,3043,3045,62.4,66.3,75.5,89.7
252,Dejan Lovren,Alberto Moreno,3045,3050,76.4,84.8,58.4,69.6
253,Alberto Moreno,Dejan Lovren,3050,3052,58.2,66.6,73.2,2.9
254,Dejan Lovren,Trent Alexander-Arnold,3052,3058,71.3,8.5,85.6,30.9
255,Trent Alexander-Arnold,Dejan Lovren,3058,3090,28.7,53.9,35.7,63.3
256,Dejan Lovren,Simon Mignolet,3090,3113,8.3,47.2,18.5,15.5
257,Simon Mignolet,Joel Matip,3113,3118,27.9,17.9,33.6,48.4
258,Joel Matip,Emre Can,3118,3120,33.7,51.0,32.4,74.1
259,Emre Can,Dejan Lovren,3120,3126,57.0,81.4,70.8,95.6
260,Dejan Lovren,Alberto Moreno,3126,3143,78.0,100.0,65.5,65.4
261,Alberto Moreno,Jordan Henderson,3143,3150,66.2,63.7,54.9,5.0
262,Jordan Henderson,Trent Alexander-Arnold,3150,3152,47.9,13.7,46.6,27.4
263,Trent Alexander-Arnold,Joel Matip,3152,3154,46.5,28.3,62.5,4.6
264,Joel Matip,Mohamed Salah,3154,3156,64.2,5.2,55.3,5.3
265,Mohamed Salah,Trent Alexander-Arnold,3156,3158,55.0,6.1,42.6,24.0
266,Trent Alexander-Arnold,Joel Matip,3158,3161,45.1,25.3,44.6,34.5
267,Joel Matip,Jordan Henderson,3161,3165,45.8,35.4,80.5,92.3
268,Jordan Henderson,Emre Can,3165,3225,67.1,78.7,56.0,55.5
269,Emre Can,Joel Matip,3225,3230,54.7,56.4,75.3,49.6
270,Joel Matip,Roberto Firmino Barbosa de Oliveira,3230,3231,75.3,49.6,89.9,36.6
271,Roberto Firmino Barbosa de Oliveira,Simon Mignolet,3231,3332,14.8,50.3,11.9,79.1
272,Simon Mignolet,Georginio Wijnaldum,3332,3341,62.6,30.7,70.7,4.3
273,Georginio Wijnaldum,Trent Alexander-Arnold,3341,3350,95.2,0.0,83.1,12.2
274,Trent Alexander-Arnold,Dejan Lovren,3350,3385,30.1,59.0,43.4,68.2
275,Dejan Lovren,Sadio Mané,3385,3387,42.4,69.3,46.1,68.1
276,Sadio Mané,Roberto Firmino Barbosa de Oliveira,3387,3388,46.2,67.2,41.1,63.9
277,Roberto Firmino Barbosa de Oliveira,Emre Can,3388,3389,40.9,63.3,45.4,41.0
278,Emre Can,Georginio Wijnaldum,3389,3393,41.9,36.3,33.9,29.5
279,Georginio Wijnaldum,Trent Alexander-Arnold,3393,3396,31.4,27.0,27.4,66.7
280,Trent Alexander-Arnold,Dejan Lovren,3396,3400,33.7,69.7,44.9,72.1
281,Dejan Lovren,Emre Can,3400,3402,44.9,72.1,29.2,73.8
282,Emre Can,Dejan Lovren,3402,3408,40.1,80.3,82.9,68.8
283,Dejan Lovren,Georginio Wijnaldum,3408,3512,32.6,6.5,63.7,3.8
284,Georginio Wijnaldum,Mohamed Salah,3512,3517,64.0,2.2,59.8,12.3
285,Mohamed Salah,Georginio Wijnaldum,3517,3520,61.3,13.7,54.2,1.9
286,Georginio Wijnaldum,Trent Alexander-Arnold,3520,3524,46.0,2.6,19.0,32.4
287,Trent Alexander-Arnold,Simon Mignolet,3524,3526,19.4,33.3,29.6,63.4
288,Simon Mignolet,Dejan Lovren,3526,3529,28.1,64.8,39.3,66.6
289,Dejan Lovren,Emre Can,3529,3532,38.9,67.8,36.7,79.7
290,Emre Can,Dejan Lovren,3532,3535,35.2,81.2,34.6,68.2
291,Dejan Lovren,Emre Can,3535,3539,32.0,60.8,18.4,51.2
292,Emre Can,Simon Mignolet,3539,3542,18.3,50.9,27.6,51.2
293,Simon Mignolet,Jordan Henderson,3542,3544,27.6,51.2,14.7,50.4
294,Jordan Henderson,Simon Mignolet,3544,3547,14.3,49.3,27.8,5.9
295,Simon Mignolet,Joel Matip,3547,3553,40.0,2.8,63.3,27.1
296,Joel Matip,Simon Mignolet,3553,3591,14.4,54.3,35.9,61.1
297,Simon Mignolet,Emre Can,3591,3595,30.6,54.3,56.9,7.0
298,Emre Can,Jordan Henderson,3595,3616,80.0,77.5,74.8,67.6
299,Jordan Henderson,Sadio Mané,3616,3618,74.8,67.6,80.4,62.0
300,Sadio Mané,Jordan Henderson,3618,3680,26.3,65.5,40.7,62.7
301,Jordan Henderson,Roberto Firmino Barbosa de Oliveira,3680,3681,40.7,62.7,43.4,57.8
302,Roberto Firmino Barbosa de Oliveira,Mohamed Salah,3681,3698,54.5,36.0,63.2,62.3
303,Mohamed Salah,Roberto Firmino Barbosa de Oliveira,3698,3703,63.1,55.7,73.5,52.4
304,Roberto Firmino Barbosa de Oliveira,Mohamed Salah,3703,3798,81.7,11.0,70.0,26.2
305,Mohamed Salah,Trent Alexander-Arnold,3798,3801,70.6,27.1,68.0,43.3
306,Trent Alexander-Arnold,Jordan Henderson,3801,3803,68.0,44.3,79.5,80.0
307,Jordan Henderson,Trent Alexander-Arnold,3803,3842,99.5,99.5,95.5,57.2
308,Trent Alexander-Arnold,Georginio Wijnaldum,3842,3850,69.0,27.7,84.4,47.2
309,Georginio Wijnaldum,Georginio Wijnaldum,3850,3879,69.9,6.2,74.3,5.9
310,Georginio Wijnaldum,Sadio Mané,3879,3886,67.5,54.4,59.7,65.1
311,Sadio Mané,Roberto Firmino Barbosa de Oliveira,3886,3930,75.2,62.9,66.2,59.3
312,Roberto Firmino Barbosa de Oliveira,Jordan Henderson,3930,3932,66.2,59.3,81.7,2.8
313,Jordan Henderson,Mohamed Salah,3932,3937,78.7,3.8,76.0,23.3
314,Mohamed Salah,Georginio Wijnaldum,3937,3957,21.7,33.7,11.7,39.5
315,Georginio Wijnaldum,Trent Alexander-Arnold,3957,4159,99.5,0.5,94.8,42.2
316,Trent Alexander-Arnold,Trent Alexander-Arnold,4159,4187,58.7,0.0,35.6,21.2
317,Trent Alexander-Arnold,Joel Matip,4187,4189,34.5,22.1,28.4,56.3
318,Joel Matip,Dejan Lovren,4189,4191,28.4,56.3,32.2,75.3
319,Dejan Lovren,Alberto Moreno,4191,4192,32.3,76.3,26.9,60.6
320,Alberto Moreno,Dejan Lovren,4192,4195,28.6,61.2,29.7,92.0
321,Dejan Lovren,Alberto Moreno,4195,4198,30.1,94.1,25.4,65.7
322,Alberto Moreno,Dejan Lovren,4198,4201,25.1,64.3,22.8,54.4
323,Dejan Lovren,Emre Can,4201,4206,26.5,51.5,7.4,42.7
324,Emre Can,Jordan Henderson,4206,4219,29.0,27.7,11.5,49.6
325,Jordan Henderson,Simon Mignolet,4219,4221,11.5,49.6,21.8,61.1
326,Simon Mignolet,Dejan Lovren,4221,4222,21.8,61.1,29.8,55.2
327,Dejan Lovren,Emre Can,4222,4224,29.8,55.2,30.8,87.1
328,Emre Can,Alberto Moreno,4224,4232,76.9,69.5,82.8,28.5
329,Alberto Moreno,Jordan Henderson,4232,4267,39.7,55.4,47.2,53.4
330,Jordan Henderson,Roberto Firmino Barbosa de Oliveira,4267,4269,47.9,53.4,48.5,44.9
331,Roberto Firmino Barbosa de Oliveira,Sadio Mané,4269,4270,53.7,43.4,56.0,53.0
332,Sadio Mané,Roberto Firmino Barbosa de Oliveira,4270,4271,56.0,53.0,64.6,55.5
333,Roberto Firmino Barbosa de Oliveira,Dejan Lovren,4271,4276,41.5,65.5,58.4,73.6
334,Dejan Lovren,Joel Matip,4276,4291,29.6,51.8,47.7,38.2
335,Joel Matip,Mohamed Salah,4291,4292,47.7,38.2,41.9,28.8
336,Mohamed Salah,Georginio Wijnaldum,4292,4304,44.9,6.8,44.6,14.6
337,Georginio Wijnaldum,Jordan Henderson,4304,4305,44.6,15.2,35.4,7.1
338,Jordan Henderson,Trent Alexander-Arnold,4305,4305,35.4,7.1,48.0,5.0
339,Trent Alexander-Arnold,Georginio Wijnaldum,4305,4307,50.2,6.4,60.9,2.2
340,Georginio Wijnaldum,Trent Alexander-Arnold,4307,4330,57.7,0.0,65.7,1.3
341,Trent Alexander-Arnold,Jordan Henderson,4330,4404,46.8,13.1,59.6,4.3
342,Jordan Henderson,Mohamed Salah,4404,4410,77.6,26.7,75.1,39.8
343,Mohamed Salah,Sadio Mané,4410,4412,75.1,39.8,78.7,56.1
344,Sadio Mané,Joel Matip,4412,4553,27.4,33.9,41.5,28.8
345,Joel Matip,Georginio Wijnaldum,4553,4555,41.5,28.8,53.9,18.5
346,Georginio Wijnaldum,Mohamed Salah,4555,4556,53.9,18.5,55.2,24.7
347,Mohamed Salah,Jordan Henderson,4556,4565,43.5,31.9,40.8,40.4
348,Jordan Henderson,Emre Can,4565,4566,40.8,40.4,54.0,50.3
349,Emre Can,Sadio Mané,4566,4572,73.3,39.2,89.5,27.0
350,Sadio Mané,Trent Alexander-Arnold,4572,4609,27.9,42.8,63.0,84.8
351,Trent Alexander-Arnold,Emre Can,4609,4761,18.2,72.1,20.1,61.8
352,Emre Can,Emre Can,4761,4793,25.4,82.4,30.6,65.4
353,Emre Can,Georginio Wijnaldum,4793,4797,39.0,31.2,29.7,27.3
354,Georginio Wijnaldum,Alberto Moreno,4797,4852,22.1,76.6,29.4,58.7
355,Alberto Moreno,Simon Mignolet,4852,4915,5.3,55.5,44.1,79.6
356,Simon Mignolet,Sadio Mané,4915,4919,44.1,79.9,45.3,67.8
357,Sadio Mané,Sadio Mané,4919,4997,24.5,75.6,33.6,51.6
358,Sadio Mané,Simon Mignolet,4997,5008,15.2,48.1,34.5,46.1
359,Simon Mignolet,Georginio Wijnaldum,5008,5015,35.4,47.6,28.4,33.9
360,Georginio Wijnaldum,Joel Matip,5015,5016,28.4,33.9,37.1,9.5
361,Joel Matip,Trent Alexander-Arnold,5016,5019,38.0,9.5,46.7,3.2
362,Trent Alexander-Arnold,Mohamed Salah,5019,5021,45.1,3.2,33.9,8.9
363,Mohamed Salah,Trent Alexander-Arnold,5021,5025,34.2,18.3,7.8,46.6
364,Trent Alexander-Arnold,Joel Matip,5025,5043,35.4,31.3,45.9,31.8
365,Joel Matip,Mohamed Salah,5043,5049,67.7,1.9,43.2,4.7
366,Mohamed Salah,Mohamed Salah,5049,5094,33.6,40.6,76.0,85.0
367,Mohamed Salah,Sadio Mané,5094,5103,87.2,76.0,87.0,54.3
368,Sadio Mané,Joel Matip,5103,5161,23.2,25.6,37.1,7.1
369,Joel Matip,Sadio Mané,5161,5164,38.0,6.1,34.7,0.8
370,Sadio Mané,Trent Alexander-Arnold,5164,5186,34.3,0.0,57.0,3.2
371,Trent Alexander-Arnold,Dejan Lovren,5186,5310,26.6,65.5,39.0,77.5
372,Dejan Lovren,Trent Alexander-Arnold,5310,5330,35.7,5.6,28.9,11.6
373,Trent Alexander-Arnold,Simon Mignolet,5330,5349,10.7,26.8,60.6,34.5
374,Simon Mignolet,Alberto Moreno,5349,5366,12.2,86.6,28.1,77.8
375,Alberto Moreno,Jordan Henderson,5366,5368,28.1,77.8,44.6,88.6
376,Jordan Henderson,Alberto Moreno,5368,5393,35.6,100.0,62.3,92.4
377,Alberto Moreno,Alberto Moreno,5393,5477,18.7,82.3,22.6,76.0
378,Alberto Moreno,Divock Origi,5477,5649,50.2,51.0,30.0,53.9
379,Divock Origi,Simon Mignolet,5649,5815,5.3,54.8,25.6,39.5
380,Simon Mignolet,Joel Matip,5815,5831,45.7,39.1,48.6,11.4
381,Joel Matip,Joseph Gomez,5831,5834,53.4,4.7,71.0,3.5
382,Joseph Gomez,James Milner,5834,5839,80.5,1.9,73.1,4.0
383,James Milner,Joseph Gomez,5839,5843,73.9,2.0,85.0,53.3
384,Joseph Gomez,Emre Can,5843,5867,31.9,64.6,40.5,67.3
